AGBUD;2017-11-10;Żurawia 6/12, lok 766;mazowieckie;00-503;Warszawa;https://www.otodom.pl/shop/agbud-IDdGCc/;0
AGB INWESTYCJE  SP. Z O.O.;2020-12-08;NOWOGRODZKA 31;mazowieckie;00-511;Warszawa;https://www.otodom.pl/shop/agb-inwestycje-sp-z-o-o-IDvwP7/;0
Agencia Teste;2019-03-12;Ulica 1;mazowieckie;00-006;Warszawa;https://www.otodom.pl/shop/agencia-teste-IDoEJK/;0
AGENCJA KOWALEWSKI LOKALE NIERUCHOMOŚCI;2011-09-12;Wańkowicza;mazowieckie;02-796;Warszawa;https://www.otodom.pl/shop/agencja-kowalewski-lokale-nieruchomosci-ID1BxT/;0
Agencja Nieruchomości DOM-MAM;2020-07-07;Łowicka 53/3;mazowieckie;02-535;Warszawa;https://www.otodom.pl/shop/agencja-nieruchomosci-dom-mam-IDwsXT/;0
Agencja Nieruchomości GOESTE - Butikowa agencja nieruchomości w Warszawie;2015-07-04;JP II 80 lok 61;mazowieckie;00-175;Warszawa;https://goeste.otodom.pl;0
Agencja Nieruchomości Marek Kunicki;2014-11-25;Nowogrodzka 38 lok. 23;mazowieckie;00-691;Warszawa;https://www.otodom.pl/shop/agencja-nieruchomosci-marek-kunicki-ID3rjB/;0
Agencja Nieruchomości Złoty Dom;2016-04-13;Szumiących Traw 6d/8;mazowieckie;03-289;Warszawa;https://zlotydom.otodom.pl;0
Agencja Ostrowskich;2019-04-04;Marszałkowska 28a;mazowieckie;00-576;Warszawa;https://www.otodom.pl/shop/agencja-ostrowskich-IDpeiE/;0
Agencji Nieruchomości Barbara;2009-01-16;Raniuszka 41;mazowieckie;02-838;Warszawa;https://barbara.otodom.pl;0
Agnes Nieruchomości;2012-06-30;Ul. Bobrowiecka 3a  lok. 116;mazowieckie;00-728;Warszawa;https://www.otodom.pl/shop/agnes-nieruchomosci-ID1ZC9/;0
AGROPOLAND Group Zepter Business Centre Warsaw;2014-01-12;str. Domaniewska 37 ;mazowieckie;02-672;Warszawa;https://agro.otodom.pl;0
AGROPOLAND Real Estate;2015-10-26;Mostowa 13/15/17;mazowieckie;00-260;Warszawa;https://bfrn.otodom.pl;0
AG City Sp.z o.o.;2018-07-19;Lindleya 16;mazowieckie;02-013;Warszawa;https://www.otodom.pl/shop/ag-city-sp-z-o-o-IDj4lu/;0
Ag. Top Anna Radziszewska;2018-09-06;Ciołka 13 lok 206;mazowieckie;01-402;Warszawa;https://www.otodom.pl/shop/ag-top-anna-radziszewska-IDkv4v/;0
AJM;2017-01-10;Al.Zjednoczenia 31/2;mazowieckie;01-838;Warszawa;https://www.otodom.pl/shop/ajm-ID9k36/;0
AJ Nieruchomosci;2020-06-23;Nowy Świat 33;mazowieckie;00-029;Warszawa;https://www.otodom.pl/shop/aj-nieruchomosci-IDwmPY/;0
AKCES NIERUCHOMOŚCI;2019-04-01;Madalińskiego 50/52;mazowieckie;02-581;Warszawa;https://www.otodom.pl/shop/akces-nieruchomosci-IDp2YQ/;0
Akces Nieruchomości;2008-07-16;Marszałkowska 83 lok. 76;mazowieckie;00-683;Warszawa;https://akces.otodom.pl;0
Akces Nieruchomości Kamińska I. Sobański J.;2018-02-21;Podczaszyńskiego 17A lok. 3;mazowieckie;01-866;Warszawa;https://www.otodom.pl/shop/akces-nieruchomosci-kaminska-i-sobanski-j-IDfLth/;0
Akces Nieruchomości Kuczyńscy;2008-08-05;ul. Sadkowska 24;mazowieckie;03-021;Warszawa;https://akces-nieruchomosci.otodom.pl;0
A.K.S. Biuro Nieruchomości;2019-05-02;ul. Pełczyńskiego 24 m.75;mazowieckie;01-471;Warszawa;https://szulcnieruchomosci.otodom.pl;0
ALAND NIERUCHOMOŚCI - Małgorzata Stanicka;2016-02-11;Szachowa 1 lok. 603;mazowieckie;04-894;Warszawa;https://aland.otodom.pl;0
ALEDOM Alicja Lewandowska;2015-03-27;Niska 3;mazowieckie;00-179;Warszawa;https://aledom.otodom.pl;0
ALEF Nieruchomości;2017-03-01;ul. Tomcia Palucha 4 m 4;mazowieckie;02-495;Warszawa;https://www.otodom.pl/shop/alef-nieruchomosci-ID9YEM/;0
Aleje Jerozolimskie 200 Sp.z  o.o.;2017-09-07;Aleje Jerozolimskie 200;mazowieckie;02-486;Warszawa;https://www.otodom.pl/shop/aleje-jerozolimskie-200-sp-z-o-o-IDcfQo/;0
Aleksandra Ziemann;2020-08-11;Św. U. Ledóchowskiej 5F/17;mazowieckie;02-972;Warszawa;https://www.otodom.pl/shop/aleksandra-ziemann-IDwGFf/;0
Alfa Home Sp. z o.o.;2017-08-17;Jana Kazimierza 32A/U4;mazowieckie;01-248;Warszawa;https://alfahome.otodom.pl;0
AL-home Adam Lebiedziński;2011-07-29;Góralska;mazowieckie;01-112;Warszawa;https://al-home.otodom.pl;0
Alim Spółka z ograniczoną odpowiedzialnością Spółka komandytowa;2019-02-27;Zygmunta Słomińskiego 19;mazowieckie;00-195;Warszawa;https://www.otodom.pl/shop/alim-spolka-z-ograniczona-odpowiedzialnoscia-spolka-komandytowa-IDoi6E/;0
Allen Invest Sp. z o.o.;2015-05-22;Belgradzka 4/13;mazowieckie;02-793;Warszawa;https://AllenInvest.otodom.pl;0
Almar Nieruchomosci;2017-03-20;Tapetowa, 17;mazowieckie;03-083;Warszawa;https://www.otodom.pl/shop/almar-nieruchomosci-IDagCQ/;0
Almar Premium Real Estate;2018-02-01;ul. Pańska 73 lok. 100;mazowieckie;00-140;Warszawa;https://www.otodom.pl/shop/almar-premium-real-estate-IDe816/;0
ALN Nieruchomości;2020-11-13;Jana Olbrachta  15 lok 34;mazowieckie;01-108;Warszawa;https://www.otodom.pl/shop/aln-nieruchomosci-IDvmsm/;0
ALPHA NIERUCHOMOŚCI;2021-02-02;ul. Grójecka, 20c;mazowieckie;02-301;Warszawa;https://www.otodom.pl/shop/alpha-nieruchomosci-IDvTqT/;0
ALPI;2016-07-19;Grajewska 6/8;mazowieckie;03-377;Warszawa;https://www.otodom.pl/shop/alpi-ID7mIV/;0
Alter Home;2018-06-06;Gorlicka 10;mazowieckie;02-130;Warszawa;https://alter-home.otodom.pl;0
AMIDOM NIERUCHOMOŚCI;2011-11-28;Marszałkowska 7/17;mazowieckie;00-626;Warszawa;https://amidom.otodom.pl;0
Amita Andrzej Kołacz;2019-12-18;Nałęczowska 64/6;mazowieckie;02-922;Warszawa;https://www.otodom.pl/shop/amita-andrzej-kolacz-IDu2U0/;0
Amita Mieszkania;2016-03-07;ul. Nałęczowska 64/6;mazowieckie;02-922;Warszawa;https://amita.otodom.pl;0
AM SP. Z O.O.;2020-05-28;hoża 86/410;mazowieckie;00-682;Warszawa;https://www.otodom.pl/shop/am-sp-z-o-o-IDwbEn/;0
Andrzejak i Doradcy;2011-10-24;al. Niepodległości 235/237 lok 8;mazowieckie;02-009;Warszawa;https://aidn.otodom.pl;0
Andrzejczyk Nieruchomości;2015-07-03;ul. Tyszkiewicza 13/u5;mazowieckie;01-157;Warszawa;https://andrzejczyknieruchomosci.otodom.pl;0
Aneta Celińska;2021-03-17;Leszka Czarnego 9/1;mazowieckie;02-496;Warszawa;https://anetacelinska.otodom.pl;0
Angelo Custode Paprota Marciniak Spółka Jawna;2021-01-02;ul Jana Pawła II 11;mazowieckie;00-828;Warszawa;https://angelocustode.otodom.pl;0
Anika Nieruchomości sp. zo.o.;2016-09-29;Warecka, 11A;mazowieckie;00-034;Warszawa;https://www.otodom.pl/shop/anika-nieruchomosci-sp-zo-o-ID8fXQ/;0
Ankar;2020-05-18;Mroczna 5a;mazowieckie;01-456;Warszawa;https://www.otodom.pl/shop/ankar-IDw5Vg/;0
AnMar s.c.;2015-11-20;Gen. Wł. Andersa 21B lok. 24;mazowieckie;00-159;Warszawa;https://www.otodom.pl/shop/anmar-s-c-ID51fh/;0
Anmax&Co;2016-03-03;Al.Solidarności 82;mazowieckie;00-145;Warszawa;https://Anmax.otodom.pl;0
Anna Głębicka Nieruchomości Radość;2012-06-20;Izbicka 39;mazowieckie;04-838;Warszawa;https://radosc.otodom.pl;0
Anna Wybraniec Professional Advisory;2020-10-16;Mokotowska 15a/13;mazowieckie;00-640;Warszawa;https://www.otodom.pl/shop/anna-wybraniec-professional-advisory-IDvdK8/;0
Antares Kamila Szechalewicz;2019-11-14;Giełdowa 4a/58;mazowieckie;01-211;Warszawa;https://www.otodom.pl/shop/antares-kamila-szechalewicz-IDtN3a/;0
AP62 Andrzej Pacanowski;2017-09-26;Górnośląska 16m6;mazowieckie;00-432;Warszawa;https://www.otodom.pl/shop/ap62-andrzej-pacanowski-IDcHRy/;0
APARE NIERUCHOMOŚCI;2009-08-18;Drawska 27 m. 17;mazowieckie;02-202;Warszawa;https://www.otodom.pl/shop/apare-nieruchomosci-IDFP4/;0
"""Apartament"" Aneta Wydrzyńska";2013-08-21;Wilcza 50/52 lok.711;mazowieckie;00-679;Warszawa;https://apartament.otodom.pl;0
Apartly;2020-04-14;Romera 10/94;mazowieckie;02-784;Warszawa;https://apartly.otodom.pl;0
APARTMENT;2016-12-30;Łużycka 28a;mazowieckie;51-111;Warszawa;https://www.otodom.pl/shop/apartment-ID9nu8/;0
Apartments Broker;2015-11-30;Wał Miedzeszyński 258;mazowieckie;04-866;Warszawa;https://www.otodom.pl/shop/apartments-broker-ID56cT/;0
Apartments Centre;2018-06-04;Konstancińska, 2;mazowieckie;02-942;Warszawa;https://apartmentscentre.otodom.pl;0
APJB Sp. z o.o.;2020-04-08;Górczewska 11;mazowieckie;01-189;Warszawa;https://apjb.otodom.pl;0
Apogeum Real Estate Sp. z o.o.;2018-02-06;Korotyńskiego 23 lok 66;mazowieckie;02-123;Warszawa;https://www.otodom.pl/shop/apogeum-real-estate-sp-z-o-o-IDfrjx/;0
APOLLO Nieruchomości;2013-10-02;Żegańska 22;mazowieckie;04-713;Warszawa;https://apollo.otodom.pl;0
Apolonia House Sp z.o.o;2012-11-29;Złota 7 lok 18;mazowieckie;00-019;Warszawa;https://www.otodom.pl/shop/apolonia-house-sp-z-o-o-ID2dY4/;0
Archikadr;2020-03-02;Fieldorfa 5;mazowieckie;04-017;Warszawa;https://www.otodom.pl/shop/archikadr-IDuGZt/;0
Architekt i Nieruchomości POINT Maria Mogiłko;2018-12-19;ul.Zwycięzców 43 lok. 3;mazowieckie;03-937;Warszawa;https://ain-point.otodom.pl;0
Arcona Capital Real Estate Poland Sp. z o.o.;2017-05-26;Bagno 2/211;mazowieckie;00-112;Warszawa;https://www.otodom.pl/shop/arcona-capital-real-estate-poland-sp-z-o-o-IDaVX6/;0
ArcyDoradcy;2020-12-01;Nowogrodzka 50 lok. 449;mazowieckie;00-695;Warszawa;https://arcydoradcy.otodom.pl;0
Arcy-Miejsce;2019-11-03;Zygmunta Krasińskiego 20;mazowieckie;01-581;Warszawa;https://www.otodom.pl/shop/arcy-miejsce-IDtNbv/;0
ARDIS S.C.;2017-06-20;Marszałkowska 18 lok 14;mazowieckie;00-590;Warszawa;https://www.otodom.pl/shop/ardis-s-c-IDblus/;0
Aria Warsaw;2018-02-06;Bluszczańska;mazowieckie;00-712;Warszawa;https://ariawarsaw.otodom.pl;0
Arkos Nieruchomości;2018-06-08;Krucza 6/14/245;mazowieckie;00-537;Warszawa;https://www.otodom.pl/shop/arkos-nieruchomosci-IDi4je/;0
ARMIDA ESTATE Biuro Obsługi Rynku Nieruchomości;2014-10-14;Madalińskiego 42 lok.3;mazowieckie;02-540;Warszawa;https://armida-estate.otodom.pl;0
Art-Con Nieruchomości;2011-10-25;Myśliwska 13;mazowieckie;03-071;Warszawa;https://art-con.otodom.pl;0
Art-Dom Grażyna Kozłowska;2019-03-26;Targowa 15 lok. 60a;mazowieckie;03-727;Warszawa;https://www.otodom.pl/shop/art-dom-grazyna-kozlowska-IDoUnV/;0
ArtHome;2018-07-29;Mokotowska 1;mazowieckie;00-640;Warszawa;https://arthome.otodom.pl;0
Artur Bierć Kancelaria Radcy Prawnego;2018-01-22;Zagłoby 23/78;mazowieckie;02-495;Warszawa;https://www.otodom.pl/shop/artur-bierc-kancelaria-radcy-prawnego-IDf1Sn/;0
ASAP Nieruchomości;2020-03-04;Prosta 70;mazowieckie;00-838;Warszawa;https://www.otodom.pl/shop/asap-nieruchomosci-IDuHTH/;0
Ascomp International Sp. zo.o.;2019-10-14;Lambad10;mazowieckie;02-830;Warszawa;https://www.otodom.pl/shop/ascomp-international-sp-zo-o-IDtFmr/;0
Asney Polska;2021-04-08;Jagiełły 16;mazowieckie;02-495;Warszawa;https://www.otodom.pl/shop/asney-polska-IDxlqO/;0
Aston House  Sp. z o.o.;2014-02-26;Wąwozowa 19/U10;mazowieckie;02-793;Warszawa;https://astonhousenieruchomosci.otodom.pl;0
ASTON REAL ESTATE;2019-06-13;Ul. Emilii Plater 10 lok. 59;mazowieckie;00-669;Warszawa;https://www.otodom.pl/shop/aston-real-estate-IDqu2P/;0
AS Immobilia sp. z o.o.;2018-09-11;Wał Miedzeszyński 420/50;mazowieckie;03-994;Warszawa;https://www.otodom.pl/shop/as-immobilia-sp-z-o-o-IDkEQY/;0
atHome Magdalena Sygitowicz;2020-01-14;Krochmalna 32 lokal 38;mazowieckie;00-864;Warszawa;https://www.otodom.pl/shop/athome-magdalena-sygitowicz-IDucqC/;0
ATUT Biuro Obrotu Nieruchomościami;2014-04-01;Al. Zjednoczenia 11;mazowieckie;01-829;Warszawa;https://www.otodom.pl/shop/atut-biuro-obrotu-nieruchomosciami-ID2T4b/;0
Aura Park;2017-07-21;Al. Szucha 3 lok. 3;mazowieckie;00-582;Warszawa;https://www.otodom.pl/shop/aura-park-IDbGE2/;0
Aurum REH Sp.zo.o.;2020-02-06;Sienna 72/8;mazowieckie;00-833;Warszawa;https://www.otodom.pl/shop/aurum-reh-sp-zo-o-IDumaT/;0
AU Nieruchomości;2015-11-17;Drogomilska 20/22;mazowieckie;01-361;Warszawa;https://aunieruchomosci.otodom.pl;0
AVANGARD;2014-01-13;Lwowska 5 lok. 2;mazowieckie;00-660;Warszawa;https://avangard.otodom.pl;0
Avenue Estate  Sp. z o.o.;2020-11-09;Rzeczypospolitej 18 lok 118;mazowieckie;02-972;Warszawa;https://www.otodom.pl/shop/avenue-estate-sp-z-o-o-IDviLB/;0
Aviator Nieruchomości;2017-11-28;Świętokrzyska 20;mazowieckie;00-002;Warszawa;https://www.otodom.pl/shop/aviator-nieruchomosci-IDe2ba/;0
Avilles;2014-05-08;Kołobrzeska 29;mazowieckie;02-923;Warszawa;https://avilles.otodom.pl;0
AWIN Paweł Winiczenko;2010-05-14;Ul. Olimpijska 23 lok. 2;mazowieckie;02-636;Warszawa;https://www.otodom.pl/shop/awin-pawel-winiczenko-IDV8s/;0
Axi Immo Group Sp. z o.o.;2011-04-14;Twarda 18;mazowieckie;00-105;Warszawa;https://axi.otodom.pl;0
AXTON Nieruchomości;2013-09-04;T.Chałubińskiego 8;mazowieckie;00-613;Warszawa;https://axton.otodom.pl;0
AYLI Real Estate;2020-02-27;Hoża 51;mazowieckie;00-681;Warszawa;https://www.otodom.pl/shop/ayli-real-estate-IDtvxz/;0
Babaloo Renata Auchimik;2016-11-03;Okólnik 11a;mazowieckie;00-368;Warszawa;https://www.otodom.pl/shop/babaloo-renata-auchimik-ID8OP8/;0
Bacht sp. z o.o.;2019-05-13;Bohaterów Warszawy 26/91;mazowieckie;02-495;Warszawa;https://www.otodom.pl/shop/bacht-sp-z-o-o-IDq6W2/;0
Baobab Nieruchomości;2019-01-10;Czerska;mazowieckie;00-732;Warszawa;https://www.otodom.pl/shop/baobab-nieruchomosci-IDn9xK/;0
BarTer Home;2018-09-27;Ordona 7B;mazowieckie;01-237;Warszawa;https://www.otodom.pl/shop/barter-home-IDl5CE/;0
BASTION NIERUCHOMOŚCI;2013-05-07;Nowogrodzka 50 lok.515;mazowieckie;00-695;Warszawa;https://bastion.otodom.pl;0
BDI Development II Sp. z o.o.;2017-11-30;Postępu 14;mazowieckie;02-676;Warszawa;https://www.otodom.pl/shop/bdi-development-ii-sp-z-o-o-IDe3na/;0
BEA Royal-Estate;2021-02-19;Rosy 1F;mazowieckie;02-996;Warszawa;https://www.otodom.pl/shop/bea-royal-estate-IDx0m2/;0
Bedhouse Tomasz Bednarz;2020-05-08;Aleja Komisji Edukacji Narodowej 36 lok. 112B;mazowieckie;02-797;Warszawa;https://www.otodom.pl/shop/bedhouse-tomasz-bednarz-IDw2G9/;0
Belsaldo;2015-08-31;Obrzeżna 5B/15;mazowieckie;02-691;Warszawa;https://belsaldo.otodom.pl;0
BERED Nieruchomości;2020-09-18;Złota 7 m 18;mazowieckie;00-019;Warszawa;https://www.otodom.pl/shop/bered-nieruchomosci-IDv0Rl/;0
Berg Capital;2017-02-24;Marszałkowska 111;mazowieckie;00-102;Warszawa;https://BergCapital.otodom.pl;0
BESSO ESTATE;2021-01-15;Chmielna 2/31;mazowieckie;00-020;Warszawa;https://www.otodom.pl/shop/besso-estate-IDvGXG/;0
BestProperty Katarzyna Kokosza;2019-03-21;Lwowska 10 lok 29;mazowieckie;00-658;Warszawa;https://www.otodom.pl/shop/bestproperty-katarzyna-kokosza-IDnv80/;0
BESTRE.PL;2019-03-01;Miła 25/52;mazowieckie;01-033;Warszawa;https://www.otodom.pl/shop/bestre-pl-IDmqPO/;0
BEST DEAL Nieruchomości;2019-06-28;Czerniakowska;mazowieckie;00-718;Warszawa;https://bestdeal.otodom.pl;0
Best Nieruchomości Sp. z o.o.;2021-03-31;Al. Jerozolimskie 117;mazowieckie;02-017;Warszawa;https://www.otodom.pl/shop/best-nieruchomosci-sp-z-o-o-IDxgZb/;0
Better Estates Biuro Sprzedaży Nieruchomości;2020-04-23;Gościniec 112;mazowieckie;05-075;Warszawa;https://www.otodom.pl/shop/better-estates-biuro-sprzedazy-nieruchomosci-IDuVBR/;0
Better Place Nieruchomości Małgorzata Hunkiewicz;2015-04-29;Better Place Nieruchomości;mazowieckie;03-966;Warszawa;https://betterplace.otodom.pl;0
BETZ PRZYJAZNE NIERUCHOMOŚCI;2015-05-09;Kadrowa;mazowieckie;04-421;Warszawa;https://betz-nieruchomosci.otodom.pl;0
Bezpośrednio deweloper;2018-03-14;Radzymińska 326;mazowieckie;05-091;Warszawa;https://www.otodom.pl/shop/bezposrednio-deweloper-IDggJ1/;0
Bez prowizji;2016-02-02;Warszawa, Postępu 15;mazowieckie;02-676;Warszawa;https://www.otodom.pl/shop/bez-prowizji-ID5v1R/;0
BEZ PROWIZJI !!!;2019-01-04;Iganska 30;mazowieckie;04-083;Warszawa;https://www.otodom.pl/shop/bez-prowizji-IDmUhO/;0
BE HOME;2019-08-08;Ceramiczna 14;mazowieckie;03-126;Warszawa;https://behome.otodom.pl;0
B-Group Patrycja Ryniecka;2016-06-06;Chełmska 9/81;mazowieckie;00-724;Warszawa;https://www.otodom.pl/shop/b-group-patrycja-ryniecka-ID6jlP/;0
Białe Lwy;2019-10-15;Rakowiecka 30a;mazowieckie;02-528;Warszawa;https://bialelwy.otodom.pl;0
Biarda Estate;2018-04-30;Ul. T.Chałubińskiego 9 lok. 2,;mazowieckie;02-004;Warszawa;https://krystianbiarda.otodom.pl;0
Big City Broker;2021-04-23;al. Jana Pawła II 61/184;mazowieckie;01-031;Warszawa;https://www.otodom.pl/shop/big-city-broker-IDxtHd/;0
Big City Broker - Warszawa;2020-09-01;Al. Jana Pawła 61/184;mazowieckie;01-031;Warszawa;https://www.otodom.pl/shop/big-city-broker-warszawa-IDwwRc/;0
Big City Nieruchomości;2017-11-10;Polska;mazowieckie;00-153;Warszawa;https://www.otodom.pl/shop/big-city-nieruchomosci-IDdsM0/;0
BiuraLokaleMagazyny.pl;2017-01-09;Lasek Brzozowy 10;mazowieckie;02-792;Warszawa;https://www.otodom.pl/shop/biuralokalemagazyny-pl-ID9wNv/;0
biura bez prowizji;2016-08-18;płocka;mazowieckie;16-400;Warszawa;https://www.otodom.pl/shop/biura-bez-prowizji-ID7JhV/;0
Biuro Metrohouse Warszawa Ursus;2020-09-05;Posag 7 Panien 18/18;mazowieckie;02-495;Warszawa;https://www.otodom.pl/shop/biuro-metrohouse-warszawa-ursus-IDwTi9/;0
Biuro Na Miarę;2018-02-20;Nowy Świat 47;mazowieckie;00-042;Warszawa;https://biuronamiare.otodom.pl;0
Biuro Nieruchomości;2015-06-08;Konstruktorska 13;mazowieckie;02-673;Warszawa;https://www.otodom.pl/shop/biuro-nieruchomosci-ID3NwV/;0
Biuro Nieruchomości;2015-10-08;Nowogrodzka 38 m.4;mazowieckie;00-691;Warszawa;https://www.otodom.pl/shop/biuro-nieruchomosci-ID4GEx/;0
Biuro Nieruchomości;2020-12-30;Puławska 111a;mazowieckie;02-707;Warszawa;https://www.otodom.pl/shop/biuro-nieruchomosci-IDvAcV/;0
Biuro Nieruchomości Cosmopolitan;2019-04-23;Twarda 18;mazowieckie;00-105;Warszawa;https://www.otodom.pl/shop/biuro-nieruchomosci-cosmopolitan-IDpCM0/;0
Biuro Nieruchomości Faktor;2016-12-08;Boremlowska 42 m. 5;mazowieckie;04-338;Warszawa;https://biurofaktor.otodom.pl;0
Biuro Nieruchomości Inter Transfer;2013-02-11;Wł.Sikorskiego 26a;mazowieckie;05-075;Warszawa;https://intertransfer.otodom.pl;0
Biuro Nieruchomości Komercyjnych;2016-04-20;Nowy Świat 33;mazowieckie;00-029;Warszawa;https://magazyny.otodom.pl;0
Biuro Nieruchomości Komercyjnych;2019-02-25;Nowy Świat 33;mazowieckie;00-029;Warszawa;https://warehouse.otodom.pl;0
Biuro Nieruchomości Perkowska & Lick;2018-10-29;Alej Waszyngtona 146 lok 301;mazowieckie;04-076;Warszawa;https://perkowskalick.otodom.pl;0
Biuro nieruchomości Selekt;2018-05-16;ul. Górna Droga 10 lokal 1;mazowieckie;02-495;Warszawa;https://selekt.otodom.pl;0
Biuro Nieruchomości Trinity House;2020-03-03;ul.  Rozbrat 44a/110;mazowieckie;00-419;Warszawa;https://trinityhouse.otodom.pl;0
Biuro Nieruchomości Zacisze;2008-04-04;Czarna Droga 5D;mazowieckie;03-620;Warszawa;https://www.otodom.pl/shop/biuro-nieruchomosci-zacisze-IDfvz/;0
Biuro Obrotu Nieruchomościami EURO HOME;2020-05-14;Grenadierów 21 lok 29;mazowieckie;04-052;Warszawa;https://www.otodom.pl/shop/biuro-obrotu-nieruchomosciami-euro-home-IDuKwW/;0
Biuro Obrotu Nieruchomościami WIKALA;2007-05-21;Nowowiejska 5 lok. 58;mazowieckie;00-643;Warszawa;https://wikala.otodom.pl;0
